"perc_matricula_epf";"perc_matricula_epm";"tx_distorcao_idade_serie_epf";"tx_distorcao_idade_serie_epm";"ideb_ai_ef";"ideb_ai_em";"perc_docente_epf";"perc_docente_epm";"tx_mortalidade_infantil";"tx_mortalidade_bruta";"perc_pop_cobertura_plano_saude";"perc_internacao_falha_aps";"perc_internacao_falha_saneamento";"vl_per_capita_bolsa_familia";"vl_per_capita_beneficio_prestacao_continuada";"perc_pop_cadunico_sem_abastecimento_agua";"perc_pop_cadunico_sem_esgotamento_sanitario";"perc_pop_cadunico_sem_coleta_lixo";"perc_pop_cadunico_sem_saneamento";"perc_pop_pobre_cadunico";"perc_pop_cadunico_bolsa_familia";"perc_pop_urbana_com_abastecimento_agua";"perc_participacao_queimadas_brasil";"cobertura_ab";"incidencia";"letalidade";"label"
100;100;40,7;61,2;4,8;4,2;8,1;18,9;22,56;1,53;0,36;5,1;0,71;404,07;42,84;88,71;90,17;65,05;63,25;95,86;86,45;100;0,19;100;2672,43573428353;0,476190476190476;"Moderado"
100;100;28;29,2;5,2;4,4;41,9;32,3;8,38;4,36;0,32;34,94;3,92;418,86;86,15;50,62;80,32;44,78;36,75;96,76;90,72;100;0,22;100;6694,58403126745;1,08423686405338;"Grave"
100;100;38,1;38,4;4,7;3,8;14,5;45,8;26,82;5,63;0,77;37,08;8,21;455,7;120,07;44,87;61,53;41,64;37,5;92,03;83,08;100;0,49;100;3814,98987170831;0,589970501474926;"Grave"
100;100;40;55;4,2;4;10,9;15,5;28,35;1,79;0,15;10,92;1,71;361,98;10,58;78,49;95,25;63,22;62,03;94,85;91,86;92,49;0,18;93,6;3620,7185561826;0,462962962962963;"Grave"
100;100;25,4;27,2;5,2;4,8;48,4;35,1;9,84;3,94;0,69;46,41;5,29;134,66;150,7;70,33;43,84;39,14;23,15;92,8;79,59;70,22;0,24;100;2290,65370070232;1,88679245283019;"Moderado"
100;100;42;50,1;3,7;3,6;6,7;36;14,18;1,85;0,12;38,53;3,77;293,81;12,66;55,14;80,08;65,07;50,56;96,64;88,73;100;0,19;100;2827,44648991456;0,623052959501558;"Grave"
89,53;91,27;16,8;23,3;6,4;4,8;72,3;69,4;11,46;5,14;10,79;9,35;0,22;95,53;255,8;44,42;30,46;9,57;7,46;93,59;73,47;59,65;1,06;59,2;3067,73105781042;3,68103374989373;"Severo"
100;100;28,8;36,6;5,8;4,4;23,4;26;19,13;2,56;0,1;32,33;3,5;265,84;16,39;71,35;97,31;64,87;58;93,4;85,7;99,44;0,36;100;1064,36333240457;3,66492146596859;"Grave"
100;100;50,2;80,2;3,4;2,9;2;11,2;25,25;3,53;0,39;52,17;22,47;399,1;15,33;69,99;87,28;65,9;63,89;95,81;90,7;100;0,12;100;5890,8507223114;0,544959128065395;"Grave"
97,86;100;21,6;24,6;6,4;5;54,5;44,8;12,66;5,01;1,56;29,3;3,86;316,82;176,12;63,42;48,43;29,82;20,46;96,69;90,43;49,96;0,21;100;2514,84780994803;2,39852398523985;"Grave"
100;100;29,1;30,1;5,7;4,3;27,5;41,8;14,1;3,64;0,7;51,53;15,03;278,81;204,49;77,61;73,89;54,46;50,06;96,05;87,27;51,98;1,51;100;4089,10730429542;0,793650793650794;"Grave"
100;100;38,6;39,1;5,2;4,6;24,9;30,9;22,97;3,92;0,63;31,09;3,24;398,94;241,98;67,41;93,49;54,01;52,12;97,24;90,68;63,41;1,03;73,97;6628,52288626824;0,527704485488127;"Grave"
100;100;29,6;33,8;5,5;4,4;25,9;39,8;3,28;4,9;0,92;33,43;7,08;159,41;199,61;64,57;62,22;57,24;46,1;95,42;86,07;79,12;0,99;100;8060,96621547265;0,887372013651877;"Grave"
100;100;33,6;36,6;5;4;42,6;39,8;9,3;4,87;0,51;12,68;0,69;242,51;55,97;86,36;77,8;57,19;46,64;94,31;78,33;100;0,33;94,88;3001,31737212899;3,05343511450382;"Grave"
100;100;40,6;54,9;3,7;3,6;28,8;67,7;22,44;2,64;0,47;29,72;1,46;371,71;68,01;60,01;66,09;45,74;35,48;97,51;93,21;26,07;0,31;87,01;8065,12446567765;1,32501948558067;"Grave"
100;100;28,7;61,9;4;3,6;46,8;62,1;18,73;3,74;0,2;43,48;7,82;237,26;48,3;46,95;75,71;55,24;41,22;91,41;82,53;100;0,05;60,89;8592,77708592777;1,0351966873706;"Grave"
100;100;28,4;53,9;4,8;3,7;33,1;64,3;15,61;3,72;0,31;29,28;0,97;402,06;162,28;79,88;69,12;51,38;44,64;97,52;95,26;45,7;0,54;100;3619,90950226244;2,65804597701149;"Grave"
99,27;100;20,9;43,7;4,4;3,7;40,5;27,1;18,29;3,22;0,37;33,5;2,44;255,23;150,48;55,55;77,93;51,17;40,93;94,34;88,29;67,09;0,05;88,17;3970,5775605507;2,4375380865326;"Grave"
100;100;29,9;50,2;5,1;3,9;33,1;57,7;13,8;3,09;0,25;44,92;6,48;211,4;118,58;46,34;94,72;47,95;43,8;95,95;88,95;99,66;0,19;76,54;1853,49940688019;3,06666666666667;"Grave"
100;100;26,2;35,3;4,8;4,7;46,4;58,1;17,57;3,81;1,36;27,72;1,43;413,2;283,11;39,31;71,75;33,21;22,01;96,86;93,75;99,2;0,12;84,41;11091,5058051311;0,636334712058543;"Grave"
100;100;35,2;50,2;4,3;4,3;53,4;55,2;4,22;1,58;0,16;19,68;3,02;269,51;42,89;79,49;84,52;88,77;71;95,81;90,2;97,95;0,29;100;928,400137033231;1,4760147601476;"Moderado"
100;100;30,6;48,1;4,6;3,8;27,8;70,7;11,39;2,95;0,52;53,23;5,06;253,18;161,43;32,4;73,13;25,34;22,99;92,34;87,99;48,85;0,09;73,67;1002,98378689291;2,5089605734767;"Moderado"
99,07;100;30,7;35,4;4,5;3,9;39,7;56,6;36,3;4,53;0,4;33,28;4,96;357,13;320,01;57,4;71,09;55,81;38,59;99,18;94,11;61,51;0,22;89,12;7332,03393717037;0,430023455824863;"Grave"
100;100;36,2;25,8;3,7;3,6;38,2;25;18,87;2,92;0,2;44,46;12,78;390,01;155,71;75,7;76,81;24,26;23,35;97,98;92,98;88,15;0,38;100;4648,06074286887;0,22075055187638;"Grave"
100;100;27,2;38,4;4,1;4,1;54,3;71,8;12,27;2,57;0,12;63,16;9;360,16;11,74;65,1;85,8;43,11;39,35;97,91;93,26;87,6;0,31;100;5795,94834445192;1,58394931362196;"Grave"
100;100;45,2;38;4,4;3;23,7;50,2;20,41;3,08;0,1;25;0;461,25;260,14;77,28;92,95;74,53;63,65;94,76;88,96;36,89;0,05;100;7172,73622047244;1,02915951972556;"Grave"
100;100;42,5;66,7;3,6;3,7;34,3;69,8;19,76;2,15;0,18;15,76;5,28;200,72;96,31;48,25;96,55;44,27;38,43;95,55;86,64;84,1;0,04;100;4098,59558612783;1,3986013986014;"Grave"
100;100;34,4;47,6;4,1;3,7;29,6;67,2;13,5;3,41;0,41;37,69;3,29;355,28;235,51;54,16;72,45;34,52;29,79;92,39;86,05;69,43;7,03;98,13;6696,23949533002;1,36484687083888;"Grave"
98,01;100;22,5;38,8;5,3;4,7;52,4;75;11,35;4,31;0,75;25,53;3,05;259,76;347,51;36,95;72,03;30,86;25,15;95,52;88,88;100;0,24;91,81;4383,16400580551;3,80794701986755;"Severo"
100;100;26;50,3;4,4;4;25,3;80,3;13,33;1,56;0,22;48,01;5,2;164,67;98,23;65,94;91,53;64,86;61,75;93,21;87,42;67,63;0,16;65,01;1886,04327973;3,50877192982456;"Grave"
