IBGE;População;Cobertura AB
210005;111757;80,26
210010;6469;100,00
210015;12488;100,00
210020;22083;100,00
210030;26302;100,00
210040;8066;100,00
210043;26839;100,00
210047;31894;100,00
210050;11168;100,00
210055;6918;100,00
210060;41136;100,00
210070;26614;100,00
210080;15566;100,00
210083;17063;100,00
210087;15297;100,00
210090;46103;100,00
210095;32637;100,00
210100;29764;100,00
210110;12076;100,00
210120;104633;100,00
210125;16855;100,00
210130;18508;100,00
210135;5617;100,00
210140;93826;100,00
210150;18714;100,00
210160;87794;58,94
210170;61828;100,00
210177;11138;100,00
210173;7409;93,13
210180;5627;100,00
210190;21260;100,00
210193;6011;100,00
210197;9158;100,00
210200;41435;100,00
210203;33479;92,74
210207;16148;100,00
210210;36139;95,46
210215;9367;100,00
210220;28557;100,00
210230;23827;72,40
210232;71723;100,00
210235;15393;100,00
210237;9382;100,00
210240;11136;100,00
210250;19307;89,35
210255;14294;100,00
210260;20076;100,00
210270;21872;100,00
210275;10932;100,00
210280;24337;100,00
210290;23658;75,20
210300;164224;100,00
210310;10657;100,00
210312;8604;100,00
210315;13243;100,00
210317;21399;100,00
210320;79145;100,00
210325;14617;100,00
210330;122597;100,00
210340;49246;98,08
210350;41042;100,00
210355;16072;100,00
210360;65044;79,56
210370;32765;100,00
210375;12901;100,00
210380;23328;100,00
210390;11296;100,00
210400;17379;100,00
210405;41355;100,00
210407;8481;100,00
210408;10258;100,00
210409;18917;100,00
210410;12615;100,00
210420;15536;100,00
210430;11672;100,00
210440;17924;100,00
210450;10793;100,00
210455;18068;100,00
210460;16772;100,00
210462;7772;100,00
210465;10211;100,00
210467;25616;100,00
210470;6263;100,00
210480;68876;95,17
210490;12063;100,00
210500;28498;100,00
210510;26953;100,00
210515;14026;100,00
210520;11252;100,00
210530;258016;71,58
210535;15897;100,00
210540;67673;100,00
210542;25932;100,00
210545;9993;100,00
210547;16432;100,00
210550;23696;100,00
210560;16136;100,00
210565;3506;100,00
210570;49911;100,00
